Date,S&P 500
1992-02,10000
1992-03,10067.057279691027
1992-04,10268.598449587766
1992-05,10121.100591930699
1992-06,9684.598741163209
1992-07,9600.16327092723
1992-08,9165.998810805842
1992-09,9487.416372149712
1992-10,9915.656471199562
1992-11,10924.426417952749
1992-12,11050.70866806131
1993-01,11360.092146219107
1993-02,11801.138417081425
1993-03,12108.772113369905
1993-04,11413.353159938804
1993-05,11746.90170400741
1993-06,12124.414142860856
1993-07,12587.10719907429
1993-08,13163.781809662907
1993-09,12542.729421072747
1993-10,12951.732909572842
1993-11,13172.047387794752
1993-12,13324.635310154505
1994-01,13963.671338575567
1994-02,13531.611855291369
1994-03,12673.318467585294
1994-04,12872.310206075052
1994-05,12801.605202567369
1994-06,12284.289270634088
1994-07,12295.920632784408
1994-08,12814.035889234281
1994-09,12365.985704848425
1994-10,12401.442832752291
1994-11,12126.763260931668
1994-12,12557.635022895405
1995-01,12619.258177172413
1995-02,12966.801506421734
1995-03,12829.932934002301
1995-04,12954.28490281104
1995-05,13679.441942702482
1995-06,13879.596830233648
1995-07,14172.44554584663
1995-08,14637.41893758256
1995-09,15450.009402049334
1995-10,15154.402399692772
1995-11,15852.962810430285
1995-12,16413.29600682555
1996-01,17177.03785713607
1996-02,17434.903182361104
1996-03,17590.487468728676
1996-04,18000.997234645078
1996-05,18688.17928573733
1996-06,18612.902080800133
1996-07,17519.1575851087
1996-08,17725.51989966396
1996-09,18884.443566006787
1996-10,19464.551616546145
1996-11,20665.97429262346
1996-12,20703.623439553015
1997-01,22594.17017730366
1997-02,23762.043360131305
1997-03,23048.802237115426
1997-04,24556.328618926553
1997-05,25970.19886041465
1997-06,27437.040956137185
1997-07,30442.668520029925
1997-08,29555.124810564383
1997-09,30354.436482456767
1997-10,28806.35356451617
1997-11,29517.915454288843
1997-12,30833.222055398117
1998-01,31889.508885868698
1998-02,34112.36078896531
1998-03,35989.36489552364
1998-04,36103.16859879474
1998-05,34940.09837857035
1998-06,36621.33588147217
1998-07,36314.95719161615
1998-08,30935.845078039933
1998-09,31380.121869477498
1998-10,32677.289835598276
1998-11,35658.7389831462
1998-12,37470.89749344035
1999-01,40311.250225471
1999-02,40353.53325429637
1999-03,43043.97032449848
1999-04,45320.14251613511
1999-05,44844.03822187751
1999-06,47916.76578154962
1999-07,44829.04867012255
1999-08,45115.14952583783
1999-09,43497.221696334476
1999-10,47185.22168479677
1999-11,49839.14110644978
1999-12,53039.48518817282
2000-01,51683.5351362162
2000-02,51104.09178270004
2000-03,57046.082703579166
2000-04,58176.71435611173
2000-05,55644.4025811745
2000-06,55503.442033198895
2000-07,56482.60578103922
2000-08,62257.73120488659
2000-09,59915.95403857189
2000-10,62125.90484972213
2000-11,55464.7617049183
2000-12,52013.25116688618
2001-01,53925.14615625598
2001-02,49243.484139233784
2001-03,48293.50709638272
2001-04,51785.59778401683
2001-05,54564.02878610786
2001-06,53232.83422703802
2001-07,51050.08167891577
2001-08,45745.44196075614
2001-09,42173.05674625423
2001-10,43397.81682244828
2001-11,47480.36783271511
2001-12,48355.50558142735
2002-01,48618.00796731987
2002-02,47600.39316384381
2002-03,48974.54755495263
2002-04,44552.035126059156
2002-05,42435.67697433615
2002-06,37087.2368221696
2002-07,34865.07629378852
2002-08,34913.495204883984
2002-09,31031.86247557984
2002-10,33747.67507214321
2002-11,35505.28559571732
2002-12,31632.77071180316
2003-01,29865.27114422566
2003-02,29508.194274066518
2003-03,29483.943513109905
2003-04,31234.220726924974
2003-05,30956.201530197824
2003-06,32433.020625432473
2003-07,33320.82576452745
2003-08,35184.291119520974
2003-09,32642.640967501993
2003-10,34576.359628127706
2003-11,33796.71212024434
2003-12,33776.06351650359
2004-01,35077.30626559997
2004-02,35465.43993338717
2004-03,35482.6913187127
2004-04,35733.37638255495
2004-05,35476.27629671008
2004-06,36291.983440195036
2004-07,35426.82537301549
2004-08,35356.593547696066
2004-09,34879.18529743493
2004-10,34498.08748158694
2004-11,34385.429469467825
2004-12,34702.54110583667
2005-01,35376.698513341624
2005-02,35514.22941193329
2005-03,35671.7153041791
2005-04,35012.01070884175
2005-05,37957.981947486216
2005-06,38760.95436444048
2005-07,40196.83086096485
2005-08,39484.87158165534
2005-09,40318.0246724427
2005-10,39706.18895811232
2005-11,42095.00749067087
2005-12,42007.259392423184
2006-01,41974.84207242191
2006-02,42947.570319326034
2006-03,42657.0036735736
2006-04,41734.23335359629
2006-05,39488.01155936826
2006-06,40021.33825073478
2006-07,40095.55609283092
2006-08,40778.89167302249
2006-09,42458.47865055396
2006-10,43715.23611097263
2006-11,42843.10217128376
2006-12,43540.55250923391
2007-01,44933.492216983934
2007-02,43195.00298558027
2007-03,43324.69592392241
2007-04,44286.8236682857
2007-05,46347.47093927191
2007-06,45399.29516853498
2007-07,43340.74304479425
2007-08,43994.319985400696
2007-09,44111.35748648263
2007-10,43979.14481369007
2007-11,41241.54253119781
2007-12,41064.294790337364
2008-01,38212.01512378066
2008-02,36244.47904631852
2008-03,34613.765810475656
2008-04,36932.91312802775
2008-05,37486.33417321948
2008-06,33766.4655865122
2008-07,33808.80322161656
2008-08,36334.88858992826
2008-09,34094.707549314764
2008-10,31804.53758493347
2008-11,29590.140796425545
2008-12,27346.172458240537
2009-01,27190.919952700217
2009-02,24624.62191593347
2009-03,25443.964535511695
2009-04,27947.00437988936
2009-05,27785.78048380987
2009-06,27768.41143087079
2009-07,29858.56170261282
2009-08,30644.354129609656
2009-09,30980.754227901823
2009-10,30080.899341478194
2009-11,31410.163219073373
2009-12,33386.302467219866
2010-01,33197.35721529537
2010-02,35222.49935060623
2010-03,37598.16440437333
2010-04,38659.914666329016
2010-05,38484.22890894456
2010-06,36574.37941297342
2010-07,36860.59989651352
2010-08,36160.527862912306
2010-09,36591.827752823876
2010-10,37409.1955149716
2010-11,39884.30969223983
2010-12,41388.40580115717
2011-01,41345.75109647603
